ID,Name,PrefName,Geboren,Gestorben,Anmerkung,Typ,Geschlecht,Status,GND
271797,Will Münch,Will Münch,,,"nicht in DNB.
Entwarf 1934 das Logo für die Firma Braun AG: Schriftzug mit dem hochgezogenen ""A""",piz,male,,
349189,Jean Baptiste Massard,Jean Baptiste Massard (1740-1822),1740,1822,französischer Kupferstecher,piz,male,+,
234221,Friedrich Stadler Verlag,Friedrich Stadler Verlag,,,"Buchverlag in Konstanz der 1815 gegründet wurde

""Gegr. 1815 (nach Jubiläum), lt. einem Exemplar 1814"" - gnd, 21.08.2023
Verlag bestand bis 1989 mit Sitz in Konstanz (Vgl. gnd, 21.08.2023)",kif,,+,https://d-nb.info/gnd/63309-4
205985,Bernhard Mroß,Bernhard Mroß,,,"Schenker vieler Objekte, in gutem Kontakt mit Christoph Meißner (Mitarbeiter des MBK). Ehemals Kapitänleutnant der Bundeswehr, sowie Dolmetscher für deutsch-russisch-polnisch.

""Dolmetscher im Bundeswehrkommando Ost und im Deutschen Verbindungskommando zu den Sowjetischen Streitkräften bzw. der Westgruppe der Truppen in Strausberg und Berlin"" - gnd, 27.07.2022",piz,male,+,https://d-nb.info/gnd/130475041
331341,Philolaos,Philolaos,,,Magistrat in Knidos/Karien zwischen ca. 330 und 300 v. Chr.,piz,,+,
349473,Zollamt Neuhaldensleben,Zollamt Neuhaldensleben,,,Behörde in Neuhaldensleben (Nachweis 1934),kio,,+,
125465,Marjorie L. Cooper,Marjorie L. Cooper (1910-1999),1910,1999,US-amerikanische Zeichnerin und Illustratorin von Kinderbüchern.,piz,female,+,
193051,"J.C. Müller & Co. ""Universelle"" Zigarettenmaschinenfabrik (Dresden)","J.C. Müller & Co. ""Universelle"" Zigarettenmaschinenfabrik (Dresden)",,,Unternehmen in Dresden.,kif,,+,
328160,Siegfried Woidtke,Siegfried Woidtke,,,"Siegfried Woidtke hat jahrelang Recherchen zur Thematik Bergbau im Erzgebirge betrieben, Bergleute befragt und ist selbst in verschiedene Gruben eingefahren. Die Ergebnisse wurden in den Bildbänden ""Der Berg ist frei - Band I"" bis ""Der Berg ist frei - Band VIII"" verarbeitet. In diesen hochwertigen Bildbänden wird über den Altbergbau im Schneeberg/Neustädtler Revier, im Auer Revier sowie den Wismutbergbau berichtet. 

Das lyrische Schaffen von Siegfried Woidtke ist in den Gedichtbänden ""Vergängliches festgehalten"" sowie die unter dem Künstlernamen Lancelot von Stálbergk veröffentlichten Bände ""Lyrik, Sprüche, Liebesbriefe Band 1"" und ""Lyrik, Sprüche, Liebesbriefe Band 2"" veröffentlicht.

Dazu sind die Kinderbücher ""Friedrich und der Berggeist"", ""Es war einmal..."" und ""Ein Schwarzenberger Märchen"" erschienen. Diese sind nicht nur zum Selbstlesen für Schulanfänger und zum Vorlesen für kleine Kinder geeignet, sondern führen auch Erwachsene zurück in die Gedankenwelt der Kinder.

Um Ihnen einen Einblick in die Werke zu verschaffen, sind jeweils einzelne Leseproben vorhanden.",piz,male,,
40560,Zentralhaus für Volkskunst (Abteilung Musik),Zentralhaus für Volkskunst (Abteilung Musik),,,"""Das Zentralhaus für Kulturarbeit – hervorgegangen aus der 1949 etablierten „Zentralstelle für Volkskunst“ – wurde am 1. Februar 1952 in Leipzig als „Zentralhaus für Laienkunst“ gegründet und 1954 zunächst in „Zentralhaus für Volkskunst“ umbenannt, 1962 schließlich in Zentralhaus für Kulturarbeit der DDR. Es war dem Ministerium für Kultur unterstellt. Seine Aufgabe bestand darin, Konzepte für die Entwicklung der Volkskunst sowie für die Klubarbeit in der DDR zu erstellen. Gemeinsam mit den untergeordneten Kreis- und Bezirkskabinetten war es für die kulturelle Breiten- und Jugendarbeit zuständig."" (Auszug, Quelle: Wikipedia, 06.12.2017, URL: https://de.wikipedia.org/wiki/Zentralhaus_f%C3%BCr_Kulturarbeit_der_DDR).",kiz,,+,
